"test.y","X1"
"GBM","BRCA"
"GBM","GBM"
"OV","LUSC"
"OV","OV"
"OV","COAD"
"OV","OV"
"OV","OV"
"OV","SARC"
"OV","OV"
"OV","THYM"
"LUAD","LIHC"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","STAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","LIHC"
"LUAD","LUAD"
"LUAD","GBM"
"LUAD","STAD"
"GBM","BRCA"
"GBM","GBM"
"GBM","LGG"
"GBM","PRAD"
"GBM","SARC"
"GBM","GBM"
"GBM","THCA"
"GBM","OV"
"GBM","GBM"
"GBM","LIHC"
"GBM","CESC"
"GBM","PRAD"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","BRCA"
"GBM","GBM"
"GBM","BRCA"
"GBM","GBM"
"GBM","PRAD"
"GBM","LGG"
"GBM","GBM"
"GBM","OV"
"GBM","GBM"
"GBM","GBM"
"GBM","SARC"
"GBM","STAD"
"GBM","LUAD"
"GBM","THCA"
"GBM","HNSC"
"GBM","GBM"
"GBM","GBM"
"GBM","OV"
"GBM","BRCA"
"GBM","GBM"
"GBM","BRCA"
"GBM","LGG"
"GBM","KIRC"
"GBM","KIRP"
"GBM","GBM"
"GBM","GBM"
"GBM","OV"
"GBM","GBM"
"OV","OV"
"OV","OV"
"OV","LUSC"
"OV","OV"
"GBM","PRAD"
"GBM","BRCA"
"GBM","GBM"
"GBM","OV"
"GBM","BRCA"
"GBM","GBM"
"GBM","LUAD"
"GBM","GBM"
"GBM","LGG"
"GBM","TGCT"
"GBM","LGG"
"GBM","GBM"
"GBM","STAD"
"GBM","LIHC"
"GBM","OV"
"GBM","BRCA"
"GBM","GBM"
"GBM","BRCA"
"GBM","PRAD"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","HNSC"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","BRCA"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","LUSC"
"OV","BLCA"
"OV","OV"
"OV","STAD"
"OV","LUAD"
"OV","OV"
"OV","LUSC"
"OV","OV"
"OV","OV"
"OV","BRCA"
"OV","LIHC"
"OV","OV"
"OV","OV"
"OV","PRAD"
"OV","OV"
"OV","HNSC"
"OV","BRCA"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","BRCA"
"OV","BRCA"
"GBM","BRCA"
"GBM","GBM"
"GBM","LUAD"
"GBM","GBM"
"GBM","LUAD"
"GBM","GBM"
"GBM","LUAD"
"GBM","UCEC"
"GBM","PRAD"
"GBM","GBM"
"GBM","OV"
"GBM","LGG"
"GBM","GBM"
"LUAD","OV"
"LUAD","COAD"
"LUAD","LUSC"
"LUAD","LUSC"
"LUAD","LUSC"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","COAD"
"LUAD","COAD"
"LUAD","LUSC"
"LUSC","LUSC"
"LUSC","HNSC"
"LUSC","COAD"
"LUSC","LUSC"
"LUSC","LUSC"
"GBM","BRCA"
"GBM","GBM"
"GBM","COAD"
"GBM","LGG"
"GBM","BRCA"
"GBM","PRAD"
"GBM","GBM"
"GBM","OV"
"GBM","GBM"
"GBM","BRCA"
"GBM","UCEC"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","LGG"
"OV","OV"
"OV","OV"
"OV","STAD"
"OV","OV"
"OV","HNSC"
"LUSC","LIHC"
"LUSC","BLCA"
"LUSC","LUAD"
"LUSC","HNSC"
"LUSC","LUAD"
"LUSC","BRCA"
"LUSC","OV"
"LUSC","LUSC"
"LUSC","OV"
"LUSC","HNSC"
"LUSC","LUAD"
"LUSC","LUSC"
"LUSC","GBM"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","BRCA"
"LUSC","HNSC"
"OV","BRCA"
"OV","COAD"
"OV","OV"
"OV","UCS"
"OV","LUSC"
"OV","LUSC"
"OV","BRCA"
"OV","BRCA"
"OV","OV"
"OV","HNSC"
"OV","OV"
"OV","OV"
"OV","BRCA"
"OV","OV"
"OV","LUSC"
"OV","OV"
"OV","OV"
"OV","HNSC"
"OV","ESCA"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","PAAD"
"OV","OV"
"OV","BRCA"
"OV","BRCA"
"OV","UVM"
"GBM","GBM"
"GBM","SARC"
"GBM","GBM"
"GBM","GBM"
"GBM","BRCA"
"GBM","GBM"
"GBM","GBM"
"GBM","LGG"
"GBM","KIRC"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","KIRP"
"GBM","GBM"
"GBM","GBM"
"GBM","CESC"
"GBM","GBM"
"GBM","LUAD"
"GBM","LUSC"
"GBM","GBM"
"GBM","CESC"
"GBM","GBM"
"OV","BRCA"
"OV","OV"
"OV","LUAD"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","ESCA"
"OV","OV"
"OV","COAD"
"OV","HNSC"
"OV","OV"
"OV","BRCA"
"OV","BRCA"
"OV","OV"
"PRAD","OV"
"PRAD","PRAD"
"PRAD","PRAD"
"TGCT","PAAD"
"TGCT","TGCT"
"TGCT","BRCA"
"TGCT","PRAD"
"TGCT","KIRC"
"TGCT","LIHC"
"TGCT","TGCT"
"TGCT","LIHC"
"TGCT","TGCT"
"TGCT","TGCT"
"TGCT","BRCA"
"TGCT","PRAD"
"TGCT","KIRP"
"TGCT","TGCT"
"TGCT","TGCT"
"TGCT","TGCT"
"TGCT","PRAD"
"TGCT","PRAD"
"TGCT","BRCA"
"TGCT","PRAD"
"TGCT","CESC"
"ESCA","GBM"
"ESCA","OV"
"ESCA","STAD"
"ESCA","BRCA"
"ESCA","BRCA"
"PAAD","PAAD"
"PAAD","PAAD"
"PAAD","STAD"
"PAAD","PAAD"
"PAAD","PAAD"
"PAAD","LUAD"
"TGCT","TGCT"
"LIHC","CESC"
"LIHC","LIHC"
"LIHC","KIRP"
"LIHC","LGG"
"LIHC","BRCA"
"LIHC","LIHC"
"KIRP","LAML"
"KIRP","HNSC"
"KIRP","KIRP"
"KIRP","KIRP"
"KIRP","LIHC"
"KIRP","PAAD"
"KIRP","COAD"
"KIRP","CESC"
"OV","LUSC"
"OV","OV"
"OV","OV"
"OV","OV"
"GBM","GBM"
"GBM","BRCA"
"GBM","GBM"
"GBM","PRAD"
"GBM","BRCA"
"GBM","LGG"
"GBM","GBM"
"GBM","GBM"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUAD"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUAD","LUAD"
"LUAD","SKCM"
"LUAD","LUAD"
"OV","OV"
"OV","OV"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","THCA"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","OV"
"LUSC","LUAD"
"LUSC","LUSC"
"PAAD","BRCA"
"PAAD","PAAD"
"PAAD","PAAD"
"PAAD","PAAD"
"PAAD","ACC"
"PAAD","KIRP"
"PAAD","PAAD"
"PAAD","LIHC"
"SARC","SARC"
"SARC","GBM"
"SARC","OV"
"SARC","BRCA"
"SARC","LUAD"
"SARC","OV"
"SARC","OV"
"SARC","HNSC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"THYM","THYM"
"MESO","MESO"
"MESO","KIRC"
"MESO","KIRP"
"MESO","MESO"
"MESO","OV"
"CHOL","KIRC"
"GBM","GBM"
"GBM","BRCA"
"GBM","HNSC"
"GBM","LIHC"
"GBM","GBM"
"GBM","BRCA"
"GBM","KIRC"
"OV","OV"
"LUSC","BLCA"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","OV"
"LUSC","BRCA"
"LUSC","LUAD"
"LUSC","UCEC"
"LUSC","OV"
"LUAD","LUAD"
"LUAD","OV"
"LUAD","LUSC"
"LUAD","LUAD"
"LUAD","BLCA"
"LUAD","COAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","GBM"
"LUAD","LGG"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","KIRP"
"LUAD","LUSC"
"LUAD","LUSC"
"KIRP","BRCA"
"BRCA","BRCA"
"CESC","LUAD"
"TGCT","TGCT"
"COAD","PAAD"
"HNSC","HNSC"
"THYM","OV"
"THYM","KIRP"
"THYM","BRCA"
"THYM","UVM"
"THYM","THYM"
"GBM","LUSC"
"GBM","BRCA"
"GBM","GBM"
"BLCA","BLCA"
"BLCA","COAD"
"BLCA","SKCM"
"BLCA","BLCA"
"BLCA","BLCA"
"BLCA","BLCA"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","BRCA"
"LUAD","LUAD"
"LUAD","GBM"
"LUAD","STAD"
